true_author,provider,model,thinking,chunk_id,kind,n_words,paragraph_id,trial,guess,confidence,is_specific_person,hit,attributed_to_zvi,refused,input_tokens,output_tokens,cost_usd,reasoning
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p5,paragraph,11,5,0,John Green,2,True,0,0,0,581,93,0.00523,"The excerpt is too short and generic to identify any distinctive stylistic markers, so this is essentially a low-confidence guess based on the conversational, reflective tone."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p3,paragraph,29,3,0,Zvi Mowshowitz,72,True,1,1,0,610,114,0.0059,"The reference to reviewing an AI 'system card,' the dated meta-commentary style, and the focus on AI model welfare strongly match Zvi Mowshowitz's AI newsletter writing voice."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p1,paragraph,29,1,0,Zvi Mowshowitz,72,True,1,1,0,615,116,0.005975,"The matter-of-fact, slightly wry commentary on a new Claude release with phrasing like 'incremental upgrade' and 'hot new features' fits Zvi Mowshowitz's AI newsletter style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p5s0,sentence,11,5,0,John Green,2,True,0,0,0,581,98,0.005355,"The excerpt is far too short and generic to identify any stylistic markers; this is a low-confidence guess based on the conversational, essay-like tone common to popular nonfiction writers."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p2s0,sentence,11,2,0,Zvi Mowshowitz,55,True,1,1,0,581,110,0.005655,The self-referential weariness about reading a lengthy AI model system card is characteristic of Zvi Mowshowitz's detailed AI newsletter coverage on Don't Worry About the Vase.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p1s1,sentence,20,1,0,Zvi Mowshowitz,35,True,1,1,0,595,122,0.006025,"The dry, slightly ironic tone about AI model improvements ('smarter, and can do tasks for longer', 'hot new features') matches Zvi Mowshowitz's style in his AI newsletter coverage of new model releases."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p3s0,sentence,29,3,0,Zvi Mowshowitz,78,True,1,1,0,610,110,0.0058,The reference to reviewing an Anthropic model system card plus a model welfare post matches Zvi Mowshowitz's regular AI coverage style and habit of cross-referencing his own dated posts.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p4s0,sentence,27,4,0,Zvi Mowshowitz,35,True,1,1,0,610,133,0.006375,"The phrasing about AI model updates, capability levels, and 'focus on the delta' matches Zvi Mowshowitz's analytical AI newsletter style, though 'Claude Mythos' is an unfamiliar model name suggesting recent or speculative content."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p0s0,sentence,12,0,0,Zvi Mowshowitz,28,True,1,1,0,590,128,0.00615,"The terse, slightly wry tone tracking incremental AI model releases (Anthropic's Claude/Opus versions) fits a prolific AI-commentary blogger like Zvi Mowshowitz, though the snippet is too short for certainty."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p1s0,sentence,9,1,0,Casey Newton,8,True,0,0,0,585,103,0.0055,"The excerpt mentions Claude (Anthropic's AI model) in a tech-commentary tone typical of AI newsletter writers, but the single sentence provides minimal stylistic signal."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p2,paragraph,11,2,0,Zvi Mowshowitz,62,True,1,1,0,581,105,0.00553,"The dry, self-referential tone about laboriously reading a lengthy AI model system card matches Zvi Mowshowitz's AI newsletter style on Substack/LessWrong."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p4s1,sentence,18,4,0,Zvi Mowshowitz,12,True,1,1,0,598,115,0.005865,"The phrasing references specific AI model versions (Opus 4.8/4.7) in an analytical, comparative tone typical of AI-focused commentary writers, but the excerpt is too short to identify confidently."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p4,paragraph,45,4,0,Zvi Mowshowitz,35,True,1,1,0,643,116,0.006115,"The analytical AI-model-comparison framing, focus on incremental 'delta' updates, and casual reference to Claude model versions matches Zvi Mowshowitz's style in his AI newsletter coverage."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p0,paragraph,12,0,0,Zvi Mowshowitz,25,True,1,1,0,590,115,0.005825,"The terse, dated commentary on AI model releases (Anthropic's Opus versions) reads like the AI-news roundup style of Zvi Mowshowitz's blog, which frequently tracks model updates."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p30,paragraph,12,30,0,Scott Alexander,5,True,0,0,0,585,93,0.00525,"The metacommentary about summarizing someone's summary suggests an analytical blogger, but the excerpt is far too short to identify a specific author with confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p31,paragraph,15,31,0,Zvi Mowshowitz,25,True,1,1,0,594,134,0.00632,"The reference to 'RSP triggers' (Responsible Scaling Policy) and terse, AI-safety-insider phrasing suggests a rationalist/AI-safety blogger, with Zvi Mowshowitz being a frequent commentator on such policy details."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p31s0,sentence,15,31,0,Zvi Mowshowitz,25,True,1,1,0,594,122,0.00602,"The mention of RSP (Responsible Scaling Policy) triggers and casual analytical AI-safety jargon suggests a rationalist/AI-policy blogger, with Zvi's terse commentary style being a plausible match."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p35,paragraph,12,35,0,Andrej Karpathy,2,True,0,0,0,589,106,0.005595,The excerpt is too short and generic—comparing AI model capabilities—to identify a specific author with any confidence; this is a low-confidence guess based on the tech/AI evaluation context.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p34s0,sentence,12,34,0,Zvi Mowshowitz,25,True,1,1,0,591,124,0.006055,"The terse, evaluative comparison of AI model 'cyber capabilities' against version numbers and named models fits the AI-safety blogging style of writers like Zvi Mowshowitz who frequently summarize model capability benchmarks."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p37s0,sentence,12,37,0,Sam Altman,8,True,0,0,0,590,102,0.0055,"The phrasing about AI model 'honesty' and 'agentic honesty' suggests an AI lab figure announcing a model release, but the excerpt is too short to attribute confidently."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p35s0,sentence,12,35,0,Andrej Karpathy,2,True,0,0,0,589,100,0.005445,"The fragment references AI model versions and capabilities, suggesting an AI researcher or tech commentator, but it is far too short and generic to identify any specific author with confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p38,paragraph,12,38,0,Sam Altman,8,True,0,0,0,590,101,0.005475,"The phrasing about model honesty and 'agentic honesty' suggests an AI lab leader or researcher announcing model improvements, but the snippet is too short to attribute confidently."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p33,paragraph,27,33,0,Zvi Mowshowitz,35,True,1,1,0,623,148,0.006815,"The terse, evaluative tone comparing AI model capabilities (cyber benchmarks, version comparisons like '4.7', codename 'Mythos') reads like AI-model commentary common in rationalist/AI-safety blogging, where Zvi Mowshowitz frequently writes such capability assessments."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p34s1,sentence,15,34,0,Zvi Mowshowitz,20,True,1,1,0,597,136,0.006385,"The clipped, analytical sentence using a codename ('Mythos') for an AI model and discussing 'cyber capabilities' relative to other benchmarks fits AI-safety/model-evaluation commentary, a style associated with Zvi Mowshowitz's writing."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p43s0,sentence,23,43,0,Zvi Mowshowitz,70,True,1,1,0,610,126,0.0062,"The terse, jargon-laden AI-safety analysis covering prompt injections, computer use, adversarial robustness and dishonesty in training matches Zvi Mowshowitz's model-evaluation roundup style on his blog/Substack."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p43,paragraph,23,43,0,Zvi Mowshowitz,70,True,1,1,0,610,126,0.0062,"The terse, AI-safety-focused analysis of model evaluations (prompt injection, computer use, adversarial robustness, dishonesty trade-offs) strongly matches Zvi Mowshowitz's style in his AI newsletter."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p40s0,sentence,18,40,0,Zvi Mowshowitz,35,True,1,1,0,597,123,0.00606,"The clipped, version-numbered AI model safety commentary ('mundane safety', comparing model versions like 4.8 vs 4.7) matches Zvi Mowshowitz's recurring framing in his AI newsletter posts."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p41s0,sentence,16,41,0,Zvi Mowshowitz,25,True,1,1,0,594,131,0.006245,"The terse, comparative phrasing about model alignment (4.8 vs 4.7) and the term 'mundane alignment' fits AI-focused rationalist blogging, with Zvi Mowshowitz being a likely candidate given his model-comparison style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p40,paragraph,18,40,0,Zvi Mowshowitz,35,True,1,1,0,597,134,0.006335,"The terse, model-version-comparison phrasing about 'mundane safety' for AI models (e.g., GPT-4.7 vs 4.8) matches the clipped analytical style of AI safety commentators like Zvi Mowshowitz in his model release writeups."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p41,paragraph,16,41,0,Zvi Mowshowitz,25,True,1,1,0,594,142,0.00652,"The terse, jargon-heavy phrasing about AI model 'alignment' comparing versions (4.7 vs 4.8) and the term 'mundane' alignment evokes AI-safety blogging, with Zvi Mowshowitz being a prominent writer who uses such shorthand."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p30s0,sentence,12,30,0,Scott Alexander,5,True,0,0,0,585,95,0.0053,The excerpt is too short and generic to identify reliably; the meta-summarizing tone weakly suggests a blogger who reviews and synthesizes other works.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p47,paragraph,8,47,0,Anthropic,2,False,0,0,0,584,101,0.005445,"The sentence reads like a line from a corporate AI safety or model welfare report referencing Anthropic in third person, giving no distinctive personal stylistic cues to identify a specific individual author."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p45,paragraph,24,45,0,Zvi Mowshowitz,72,True,1,1,0,613,131,0.00634,"The wry parenthetical aside, the evaluation-of-AI-capabilities framing ('tests still failed'), and the meta-skeptical tone about underhanded/deceptive behavior match Zvi Mowshowitz's style in his AI roundup writing."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p48s0,sentence,8,48,0,Sam Bowman,5,True,0,0,0,584,106,0.00557,"The sentence references Anthropic's model welfare evaluations, suggesting an Anthropic researcher involved in alignment/welfare work, but there is too little text to identify the individual with confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p49,paragraph,5,49,0,Anonymous,1,False,0,0,0,578,81,0.004915,The excerpt is too short and generic—a boilerplate administrative note—to attribute to any specific individual with any confidence.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p45s0,sentence,24,45,0,Zvi Mowshowitz,70,True,1,1,0,613,125,0.00619,"The wry parenthetical aside about AI evaluation tasks, the quoted-test phrasing, and the self-referential logical twist match Zvi Mowshowitz's style in his AI model reviews on Don't Worry About the Vase."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p50,paragraph,15,50,0,Zvi Mowshowitz,35,True,1,1,0,598,103,0.005565,"The terse, sardonic 'Fair.' style and focus on AI model risk reports/Claude releases matches Zvi Mowshowitz's AI commentary voice."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p49s0,sentence,3,49,0,Unknown,1,False,0,0,0,574,81,0.004895,The excerpt is far too short and generic—just three words of boilerplate text—to attribute to any specific author based on style or voice.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p49s1,sentence,2,49,0,Linus Torvalds,2,True,0,0,0,569,85,0.00497,The text 'No changes.' is too generic to attribute reliably; it resembles a terse commit message or status note common among software developers.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p56,paragraph,61,56,0,,,,,,1,,,,
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p53,paragraph,31,53,0,Zvi Mowshowitz,72,True,1,1,0,612,112,0.00586,"The hedged, recursive phrasing ('I continue to worry'), focus on AI model cards and evals, and references to previous discussions match Zvi Mowshowitz's blog style on AI safety."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p50s1,sentence,1,50,0,William Shakespeare,1,True,0,0,0,569,103,0.00542,"The excerpt is a single common word with no distinctive stylistic markers, making attribution essentially impossible; I'm naming a prolific author as a near-random guess with minimal confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p53s0,sentence,31,53,0,Zvi Mowshowitz,72,True,1,1,0,612,108,0.00576,"The phrasing about model cards, eval saturation, and the first-person 'I continue to worry' framing matches Zvi Mowshowitz's analytical commentary style on AI model releases."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p52s0,sentence,38,52,0,Simon Willison,25,True,0,0,0,615,124,0.006175,"The casual, first-person tech-blogging voice discussing testing practices and automation ('get the reps in', 'I get it') resembles a hands-on software developer/blogger like Simon Willison, but the excerpt is short and generic, so confidence is low."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p56s0,sentence,31,56,0,,,,,,1,,,,
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p54,paragraph,70,54,0,Zvi Mowshowitz,85,True,1,1,0,681,125,0.00653,"The analytical tone about AI model safety, references to specific frontier models, the phrase 'I don't think that is the case here,' and the 'pattern to watch for' framing strongly match Zvi Mowshowitz's AI newsletter writing style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p51,paragraph,14,51,0,Zvi Mowshowitz,25,True,1,1,0,598,114,0.00584,"The clipped commentary on AI model evaluations with parenthetical fairness asides resembles Zvi Mowshowitz's running-commentary style in his AI newsletter, though the excerpt is very short."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p56s1,sentence,30,56,0,,,,,,1,,,,
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p55,paragraph,37,55,0,Zvi Mowshowitz,78,True,1,1,0,630,118,0.0061,References to 'RSP' (Responsible Scaling Policy) version updates and the meta-commentary tone about alerting/pointing things out matches Zvi Mowshowitz's AI policy roundup blogging style.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p52s1,sentence,24,52,0,Zvi Mowshowitz,25,True,1,1,0,609,135,0.00642,"The dry, AI-safety-jargon framing referencing CBRN risks, model capability evaluations, and a hypothetical 'Opus 4.8' suggests an AI policy/alignment blogger; Zvi's style of casually weaving model names and risk assessments fits."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p52,paragraph,62,52,0,Zvi Mowshowitz,55,True,1,1,0,659,131,0.00657,"The casual-yet-analytical tone, AI safety focus, references to model capabilities (CBRN risks, Opus), and the parenthetical 'I get it' commentary style strongly resemble Zvi Mowshowitz's AI newsletter writing."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p58s2,sentence,27,58,0,,,,,,1,,,,
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p50s0,sentence,14,50,0,Zvi Mowshowitz,25,True,1,1,0,594,117,0.005895,"The dry, parenthetical commentary about Claude model versions and AI risk reports reads like a rationalist AI-news blogger; Zvi's regular Claude/AI coverage fits the terse, insider tone."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p54s1,sentence,28,54,0,Zvi Mowshowitz,35,True,1,1,0,607,128,0.006235,"The terse analytical tone, reference to AI model evaluation ('Mythos'), 'cyber' capability concerns, and the phrase 'a pattern to watch for' match the style of an AI safety blogger like Zvi Mowshowitz."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p55s0,sentence,37,55,0,Zvi Mowshowitz,72,True,1,1,0,630,118,0.0061,"The reference to an RSP (Responsible Scaling Policy) version update, the meta-commentary about being alerted, and the casual blog-aside style strongly match Zvi Mowshowitz's AI newsletter writing."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p54s0,sentence,42,54,0,Zvi Mowshowitz,75,True,1,1,0,639,127,0.00637,"The hedged, analytical AI-safety framing, references to specific frontier models (Opus 4.8), concern about 'marginal precautions,' and the casual yet rigorous tone strongly match Zvi Mowshowitz's commentary style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p51s0,sentence,14,51,0,Zvi Mowshowitz,25,True,1,1,0,598,112,0.00579,The terse commentary on AI model evals with parenthetical fairness judgments ('reasonably fair') matches the running commentary style of AI-focused bloggers like Zvi Mowshowitz.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p57s1,sentence,10,57,0,Zvi Mowshowitz,25,True,1,1,0,586,121,0.005955,"The clipped, fact-checking tone referencing an AI Responsible Scaling Policy (RSP) versioning suggests an AI-safety commentator like Zvi Mowshowitz who often parses policy documents in detail."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p57,paragraph,39,57,0,Zvi Mowshowitz,55,True,1,1,0,632,129,0.006385,"The detailed, critical analysis of Anthropic's Responsible Scaling Policy (RSP v3.3) and system card language, with a blunt 'not a good description' verdict, matches Zvi Mowshowitz's AI policy commentary style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p58,paragraph,108,58,0,Zvi Mowshowitz,85,True,1,1,0,763,134,0.007165,"The casual yet analytical tone, references to Claude Opus and Anthropic threat models, defense-in-depth bioweapon reasoning, and phrasing like 'more or less bullshit' strongly match Zvi Mowshowitz's AI safety newsletter style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p58s0,sentence,21,58,0,Zvi Mowshowitz,55,True,1,1,0,609,114,0.005895,"The casual blunt tone, the habit of quoting and personifying Claude Opus model versions, and the AI-safety/Anthropic commentary strongly match Zvi Mowshowitz's blog style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p60,paragraph,42,60,0,Zvi Mowshowitz,78,True,1,1,0,632,117,0.006085,"The phrasing 'This Is Fine' capitalized, references to model version thresholds (Opus 4.8), and the AI-safety commentary tone strongly match Zvi Mowshowitz's blogging style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p59s1,sentence,25,59,0,Scott Alexander,3,True,0,0,0,598,107,0.005665,"The measured, concessive tone ('While I disagree... I see why one might take the new position') resembles rationalist blogging style, but the excerpt is far too short to attribute confidently to anyone specific."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p57s0,sentence,16,57,0,Zvi Mowshowitz,25,True,1,1,0,593,136,0.006365,"The terse, analytical phrasing with 'RSP' (Responsible Scaling Policy) and discussion of thresholds suggests an AI safety/policy commentator; Zvi Mowshowitz frequently analyzes such policies in this clipped, evaluative style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p57s2,sentence,13,57,0,Zvi Mowshowitz,25,True,1,1,0,583,99,0.00539,"The dry, understated critique of an AI 'system card' and the terse correction of corporate framing matches Zvi Mowshowitz's AI-safety commentary style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p61s0,sentence,18,61,0,Zvi Mowshowitz,25,True,1,1,0,602,104,0.00561,"The terse, citation-style reference to an Anthropic model document and the analytical framing about AI capabilities matches Zvi Mowshowitz's blog commentary on AI papers."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p58s3,sentence,23,58,0,Scott Alexander,12,True,0,0,0,600,121,0.006025,"The casual analytical tone with informal hedging ('which also is not obviously required', 'do the whole thing end-to-end') suggests a rationalist-adjacent blogger discussing policy or process, but the excerpt is too short for confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p59s0,sentence,10,59,0,Zvi Mowshowitz,55,True,1,1,0,587,112,0.005735,"The casual meta-commentary on Anthropic with scare-quotes around a phrase, and the AI-safety adjacent framing, matches Zvi Mowshowitz's blogging style on his Substack."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p60s0,sentence,33,60,0,Zvi Mowshowitz,78,True,1,1,0,620,136,0.0065,"The phrasing 'This Is Fine' capitalized as a meme reference, the speculative AI model versioning (Opus 4.8), and the dry analytical tone about AI safety thresholds strongly match Zvi Mowshowitz's blogging style on AI developments."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p61,paragraph,18,61,0,Zvi Mowshowitz,35,True,1,1,0,602,119,0.005985,"The terse, citation-referencing style about Anthropic model capabilities and benchmarking against human researchers fits an AI-focused commentator who closely reads model cards and safety docs, like Zvi Mowshowitz."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p60s1,sentence,9,60,0,Scott Alexander,2,True,0,0,0,577,103,0.00546,"The excerpt is far too short and generic to attribute reliably; this phrasing is common in analytical blog writing, so I'm naming a prolific essayist as a low-confidence guess."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p58s1,sentence,37,58,0,Scott Alexander,25,True,0,0,0,636,137,0.006605,"The rationalist-adjacent phrasing ('de facto defense-in-depth', 'it is not obvious you need') and biosecurity/biorisk subject matter suggest a LessWrong/EA-style blogger; Scott Alexander is a plausible candidate though confidence is low."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p64,paragraph,46,64,0,Zvi Mowshowitz,75,True,1,1,0,643,124,0.006315,"The casual 'As in,' opener, focus on Claude's failures (lying, lazy, shortcutting, dropping the ball), and the analytical rationalist AI-safety voice strongly match Zvi Mowshowitz's blog style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p63,paragraph,21,63,0,Zvi Mowshowitz,55,True,1,1,0,613,136,0.006465,"The terse, list-driven phrasing with AI-safety vocabulary ('failure modes', 'fabrication', 'instruction following', 'cheap verification') and the colloquial 'even crazier' framing strongly resembles Zvi Mowshowitz's blogging style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p59,paragraph,42,59,0,Zvi Mowshowitz,85,True,1,1,0,630,130,0.0064,"The cautious hedging tone, focus on AI labs like Anthropic, use of quotation marks around 'knows what it is doing', and the analytical 'I do take issue with their framing' phrasing strongly match Zvi Mowshowitz's blogging style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p59s2,sentence,7,59,0,Scott Alexander,2,True,0,0,0,575,113,0.0057,"The excerpt is far too short to identify a specific author; the analytical phrasing 'take issue with their framing' suggests online intellectual/blogging discourse, so I name a prominent example, but confidence is minimal."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p64s1,sentence,16,64,0,Amanda Askell,25,True,0,0,0,590,98,0.0054,"The text references Claude (Anthropic's AI) in a reflective, capabilities-focused tone typical of Anthropic researchers writing about model behavior and alignment."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p65s0,sentence,11,65,0,Simon Willison,25,True,0,0,0,587,110,0.005685,"The casual, technical reference to Claude (Anthropic's model) and pull requests in a wry, anecdotal tone fits a developer-blogger who writes frequently about coding agents, like Simon Willison."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p66,paragraph,11,66,0,Simon Willison,22,True,0,0,0,587,110,0.005685,The casual technical voice referencing Claude (Anthropic's model) and AI coding agent behavior fits a prominent AI/tech blogger like Simon Willison who frequently writes about LLM quirks.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p63s0,sentence,21,63,0,Zvi Mowshowitz,62,True,1,1,0,613,117,0.00599,"The terse, list-heavy AI-safety jargon ('failure modes','instruction following failure','cheap verification') and the 'It is even crazier' framing match Zvi Mowshowitz's blogging style on AI."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p67s0,sentence,11,67,0,Anthropic,2,False,0,0,0,588,88,0.00514,"This is a terse technical sentence about Claude's behavior, likely from an AI evaluation report or documentation rather than an identifiable individual author."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p68,paragraph,11,68,0,Anthropic,2,False,0,0,0,588,92,0.00524,"This terse technical sentence reads like a line from an AI model evaluation or research report referencing Claude, with no distinctive personal style to attribute to a specific individual."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p70,paragraph,10,70,0,Sam Bowman,12,True,0,0,0,585,114,0.005775,The terse technical sentence about Claude fabricating verification suggests an AI safety researcher at Anthropic documenting model behavior; Sam Bowman is a plausible candidate given the alignment evaluation framing.
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p72,paragraph,8,72,0,Andrej Karpathy,2,True,0,0,0,587,105,0.00556,"The excerpt is too short and generic to identify a specific author; it reads like a technical note about an AI coding assistant, so I guessed a prominent AI commentator but with very low confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p70s0,sentence,10,70,0,Sam Bowman,3,True,0,0,0,585,108,0.005625,"The terse technical sentence about Claude fabricating verification suggests an Anthropic AI safety researcher writing about model evaluations, but the excerpt is too short to identify a specific author with confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p72s0,sentence,8,72,0,Anonymous software engineer,1,False,0,0,0,587,99,0.00541,"The excerpt is a single generic technical sentence about Claude (an AI model) producing flawed code, offering no distinctive stylistic markers to identify a specific author."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p73,paragraph,8,73,0,Anthropic researcher,1,False,0,0,0,579,100,0.005395,"The single sentence references Claude and testing goals, suggesting an Anthropic-related technical or evaluation context, but there are no stylistic cues to identify a specific individual."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p74s0,sentence,8,74,0,Anthropic,2,False,0,0,0,579,111,0.00567,"This terse sentence about Claude losing track of a testing goal reads like an internal note or report about AI model behavior, likely from Anthropic staff, but offers no stylistic fingerprint to identify a specific individual."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p75,paragraph,14,75,0,Simon Willison,25,True,0,0,0,591,97,0.00538,"The casual, wry tone discussing Claude's behavior matches a tech blogger who writes frequently about LLMs; Simon Willison is a prominent example of this style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p75s1,sentence,1,75,0,Anonymous,0,False,0,0,0,570,78,0.0048,"The excerpt is a single common interjection with no distinctive stylistic markers, making authorship attribution impossible."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p75s0,sentence,13,75,0,Simon Willison,12,True,0,0,0,586,112,0.00573,"The casual, technically-aware tone discussing Claude's behavior as an agent that 'decided not to' suggests an AI/LLM blogger like Simon Willison, but the excerpt is too short for high confidence."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p76,paragraph,27,76,0,Zvi Mowshowitz,55,True,1,1,0,628,113,0.005965,"The dry, wry tone about AI capability benchmarks, references to specific Claude model versions and Anthropic, and the meta-commentary style match Zvi Mowshowitz's AI newsletter writing."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p77,paragraph,58,77,0,Sam Altman,15,True,0,0,0,658,111,0.006065,"The text discusses AI model release cadence and shipping cadence from an insider's perspective, suggesting a tech executive or AI researcher; Altman is a plausible candidate but confidence is low given many possible authors."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p77s1,sentence,43,77,0,Sam Altman,25,True,0,0,0,633,102,0.005715,"The phrasing about shipping incremental advances and skipping versions suggests an AI company executive discussing release cadence, with a measured analytical tone reminiscent of Sam Altman."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p78,paragraph,51,78,0,Zvi Mowshowitz,72,True,1,1,0,649,113,0.00607,"The terse AI-safety framing, the contrast between capabilities outpacing alignment, and the sardonic 'fools who do not understand risk' aside match Zvi Mowshowitz's blogging voice."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p76s0,sentence,27,76,0,Zvi Mowshowitz,55,True,1,1,0,628,123,0.006215,"The dry, AI-industry-insider tone referencing Claude, Anthropic, capabilities indices, and benchmark commentary matches Zvi Mowshowitz's 'Don't Worry About the Vase' AI roundup style."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p77s0,sentence,15,77,0,Andrej Karpathy,8,True,0,0,0,590,108,0.00565,"The terse, data-point-driven observation about AI model release cadence suggests a tech/AI commentator, but the single short sentence offers little distinctive stylistic signal, so confidence is very low."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p78s1,sentence,36,78,0,Eliezer Yudkowsky,25,True,0,0,0,617,116,0.005985,"The contrarian, blunt tone about risk estimation and dismissive 'fools who do not understand risk' phrasing echoes rationalist AI-safety commentary, though the line is short and could be many such writers."
Zvi Mowshowitz,anthropic,claude-opus-4-8,high,p80s0,sentence,11,80,0,Kelsey Piper,3,True,0,0,0,593,91,0.00524,"The fragment references Anthropic and AI risk framing typical of tech/AI journalism, but it's too short to reliably attribute to any specific writer."
